name,type_final,gender_final,n_mentions,n_docs
Luboš DOSTÁL,M1,M,14,2
Martin BAXA,M6,M,14,1
Kristýna BŘEZOVSKÁ,M1,F,14,3
Johana BÁZLEROVÁ,M2,F,14,1
Valburga VAVŘINOVÁ,M3,F,14,1
Richard FRANC,M6,M,14,2
Michal CAGALA,M1,M,14,4
Petr PITHART,M6,M,14,2
Karolína JELÍNKOVÁ,M1,F,14,5
Pavel KALENDA,M3,M,14,1
František BERÁNEK,M2,M,14,1
Tomáš HAAS,M5,M,14,1
Luděk RŮŽIČKA,M2,M,14,1
Cyril SVOBODA,M6,M,14,3
Markéta ČERNÁ,M1,F,14,3
Martin RUSEK,M1,M,14,4
Margita BALAŠTÍKOVÁ,M6,F,14,2
Vítězslav KREMLÍK,M4,M,14,2
Miloslav LUDVÍK,M6,M,14,3
Jan PŘÍHODA,M6,M,14,3
Jan RÝDL,M1,M,13,1
Milan ŠTĚCH,M6,M,13,2
Pavel HABRAM,M1,M,13,3
Pavel FISCHER,M6,M,13,3
Erik KNAJFL,M1,M,13,2
Patrik NOVOTNÝ,M2,M,13,1
Alexandr AČ,M3,M,13,4
Vladimír HANDL,M3,M,13,1
Daniel HERMAN,M6,M,13,1
Michael ŽANTOVSKÝ,M5,M,13,3
Tomáš LERCH,M5,M,13,3
Tomáš HRNČÍŘ,M1,M,13,1
Martin RULÍK,M3,M,13,1
Vladimír DLOUHÝ,M5,M,13,1
Konference OSN,?,F,13,12
Matyáš KŘÍŽKOVSKÝ,M2,M,13,1
Jakub ŠTÁFEK,M2,M,13,1
Vladimír VLČEK,M5,M,13,1
Viktorie TENZEROVÁ,M5,F,13,3
Renata ALTOVÁ,M6,F,13,3
Zdeňka RYBOVÁ,M6,F,13,1
Jaroslav ZOULA,M1,M,13,4
Jaroslav HOLÍK,M6,M,13,2
Michal ŠNOBR,M5,M,13,3
Pavel KINDLMANN,M5,M,13,3
Petra KRMELOVÁ,M1,F,13,3
Nick ARCHER,M6,M,13,2
Jiří BĚHOUNEK,M6,M,13,3
Ondřej SOUKUP,M1,M,13,2
Ondřej GOLIS,M1,M,13,1
Helena DOHNALOVÁ,M1,F,13,4
Jakub KULHÁNEK,M6,M,13,7
Jan FOUSEK,M5,M,13,2
Jan HREŇO,M1,M,13,3
Ivan DAVID,M6,M,13,2
Zbyněk HRKAL,M3,M,13,1
Mark THOMPSON,M5,M,13,1
Martina JURIGOVÁ,M2,F,12,1
Ivana MALÁ,M1,F,12,6
Podle OSN,?,F,12,10
Jan KAVAN,M3,M,12,3
Jan CINA,M2,M,12,1
Jorga HRUŠKOVÁ,M1,F,12,8
Vladimír MANA,M5,M,12,1
Tomas KULIDAKIS,M3,M,12,1
Karel ŠŤASTNÝ,M3,M,12,1
Markéta ZEZULKOVÁ,M3,F,12,1
Martin MARGOLD,M3,M,12,2
Tomáš ZDECHOVSKÝ,M6,M,12,4
Lucie MOHYLOVÁ,M1,F,12,1
Ondřej ŠIMEČEK,M1,M,12,3
Patrik NACHER,M6,M,12,2
Pavel KAPLER,M5,M,12,5
Pavel KYSILKA,M5,M,12,1
Julia BRYANOVÁ,M6,F,12,1
Pavel DRAHOVZAL,M6,M,12,1
Šárka KROSOSKOVÁ,M1,F,12,2
Aneta SAVAROVÁ,M1,F,12,11
Václav DVOŘÁK,M5,M,12,2
Michal KUČERA,M6,M,12,6
Pavel SCHR TTER,M1,M,12,3
Jiří PŘIBÁŇ,M3,M,12,2
Ladislav VARADZIN,M3,M,11,2
Josef KOTT ANO,M6,M,11,1
Laurent FABIUS,M6,M,11,11
Ivan BREZINA,M3,M,11,1
Václav BAŽANT,M3,M,11,2
Tomáš NAHODIL,M5,M,11,1
Tomáš HAAS,M1,M,11,1
Libor TKÁČ,M5,M,11,1
Ciaran KELLY,M6,M,11,1
Dana FEMINOVÁ,M5,F,11,1
Kateřina GOLASOVSKÁ,M1,F,11,3
Milan CHOVANEC,M6,M,11,3
Leslie SKLAIR,M3,M,11,1
Ondřej SCHNEIDER,M1,M,11,2
Miloš VYSTRČIL,M5,M,11,1
Libor AMBROZEK,M6,M,11,4
Lea SUROVCOVÁ,M1,F,11,3
Leo LUZAR,M6,M,11,3
Pavel ŠOLC,M5,M,11,3
Pavel PAFKO,M6,M,11,1
Petr DVOŘÁK,M1,M,11,2
Jiří VODIČKA,M3,M,11,2
Garton ASH,M3,M,11,1
Jiří KLICPERA,M3,M,11,1
Jana KRUTÁKOVÁ,M6,F,11,3
Jan EICHLER,M5,M,11,1
Monika OBORNÁ,M6,F,11,1
Soňa JONÁŠOVÁ,M5,F,11,2
Ota MACHÁČEK,M2,M,11,1
Jaroslav ROŽNOVSKÝ,M5,M,11,1
Josef ČERMÁK,M5,M,11,1
Michel PEROTTINO,M5,M,11,1
Jukka PESOLA,M6,M,11,1
Jan KALAŠ,M6,M,11,1
Štěpán KŘEČEK,M5,M,11,2
Jan MAŘÍK,M5,M,11,1
Zdeněk MLNAŘÍK,M1,M,11,3
Zdeněk NYTRA,M6,M,10,1
Jan MATOUŠEK,M5,M,10,1
Přemysl ČECH,M1,M,10,1
Marek BABISZ,M6,M,10,1
Václav LIDICKÝ,M5,M,10,3
Mariana KOPECKÁ,M1,F,10,8
Andrea JANKOVCOVÁ,M5,F,10,1
Jan SCHILLER,M6,M,10,2
Jiří PETROVIČ,M1,M,10,8
Pavel LIPINA,M3,M,10,2
Pavel NOVOTNÝ,M1,M,10,2
Denis ŠTEFANISKO,M3,M,10,1
Jaroslav FOLDYNA,M6,M,10,1
Michal KLOKOČNÍK,M1,M,10,2
Michal KLÍMA,M3,M,10,1
Jaromír BLÁHA,M3,M,10,3
Vladimíra LESENSKÁ,M6,F,10,1
Helena LANGŠÁDLOVÁ,M6,F,10,2
Jakub LUDVÍK,M2,M,10,1
Michal LUKEŠ,M5,M,10,1
Karel TUREČEK,M6,M,10,1
Peter POMERANTSEV,M1,M,10,1
Jaroslav KLAŠKA,M6,M,10,1
Ladislav CABADA,M3,M,10,1
Kateřina KLASNOVÁ,M6,F,10,1
Martin SAITZ,M5,M,10,2
Václav STÁREK,M6,M,10,2
Pavel PEŠEK,M2,M,10,1
Vladimír DOLEJSKÝ,M5,M,10,5
Martin BARRY,M5,M,10,1
Markéta VAŇKOVÁ,M6,F,10,2
Petr FUČÍK,M5,M,10,1
Bohdan WOJNAR,M6,M,10,2
Martin LUDVÍK,M5,M,10,1
Jiří ZELENKA,M5,M,10,1
Milan EIBL,M5,M,10,1
Edvard SEQUENS,M6,M,10,1
Tomáš POSPÍŠIL,M5,M,10,3
Vlastimil KARLÍK,M6,M,10,1
Petra PROCHÁZKOVÁ,M1,F,10,1
František KUČERA,M6,M,10,4
Dušan MULÍČEK,M5,M,10,1
Filip KOUBEK,M5,M,10,2
Martin REY,M3,M,10,1
Kristina VRKOČOVÁ,M1,F,10,2
Jan KOLÁŘ,M5,M,10,2
Antony BLINKEN,M6,M,10,8
Antonio GUTERRES,M6,M,10,8
Lukáš BARTOŇ,M6,M,10,2
Pavla KOSÍKOVÁ,M1,F,10,8
Pavla KUBÁLKOVÁ,M1,F,10,3
Jan VOLNÝ,M6,M,10,1
Zdeněk KOVÁŘÍK,M6,M,9,1
Zuzana LIZCOVÁ,M5,F,9,2
Marcela VLADAŘOVÁ,?,F,9,1
Jan STANĚK,M6,M,9,2
Yvonna GAILLYOVÁ,M5,F,9,2
Radek VINCOUR,M6,M,9,1
Miloš VONDRUŠKA,M2,M,9,1
Mark RIEDER,M6,M,9,1
Jan KOHOUT,M5,M,9,1
Jan KOVÁŘ,M5,M,9,1
Jiří GAVOR,M5,M,9,9
Sergej LAVROV,M6,M,9,7
Silvana JIROTKOVÁ,M5,F,9,1
Michal POLÁŠEK,M1,M,9,2
Karel KOVÁŘ,?,M,9,1
Luboš PAVLAS,M6,M,9,1
Vojtěch MUNZAR,M6,M,9,2
Jan KAVAN,M6,M,9,1
Jana TEJKALOVÁ,M5,F,9,1
Daniel PONEMAN,M5,M,9,1
Jiří FEIST,M6,M,9,1
Slavomír GOGA,M6,M,9,1
Stefan RAHMSTORF,M3,M,9,1
Barbora CHATTOVÁ,M3,F,9,1
Jan FISCHER,M6,M,9,1
Veronika KUBÍČKOVÁ,M1,F,9,9
Benjamin SCHIFRES,M5,M,9,1
Helena KAZMAROVÁ,M5,F,9,1
Hnutí ANO,?,M,9,7
Petr FISCHER,M1,M,9,1
Kateřina BERANOVÁ,M1,F,9,2
Bernie SANDERS,M6,M,9,9
Bohuslav CHALUPA,M6,M,9,1
Linda NEDBALOVÁ,M3,F,9,2
Martin NOVÁK,M5,M,9,4
Josef SEDLÁČEK,M6,M,9,1
Miroslav KUNDRATA,M5,M,9,3
Jiří ČERVENKA,M6,M,9,1
Miroslav KALOUSEK,M6,M,9,9
Miroslav KORECKÝ,M1,M,9,2
Jiří OBERFALZER,M6,M,9,1
Robert WATSON,M6,M,9,5
Summit OSN,?,M,9,9
Ondřej JONÁŠ,M5,M,9,2
Michaela POLÁKOVÁ,M1,F,9,2
Tomáš KUČERA,M3,M,9,1
Tomáš NEŘOLD,?,M,9,1
Kristina LARISCHOVÁ,M6,F,9,1
Libor JANEČKA,M2,M,9,2
Kryštof KOZÁK,M3,M,9,1
Kim HOLMÉN,M5,M,9,3
Clare NULLISOVÁ,M1,F,9,9
Kyriakos MITSOTAKIS,M6,M,9,7
Tereza AUBRECHTOVÁ,M3,F,9,2
Mauricio MACRI,M6,M,9,8
Zdeněk TŮMA,M5,M,9,1
Aleš ERBER,M5,M,9,2
Alexandra BERNARDOVÁ,M3,F,9,3
Štěpán CHALUPA,M6,M,9,2
Magda ŠULCOVÁ,M1,F,9,1
Zuzka BEBAROVÁ RUJBROVÁ,M6,F,9,1
Marek HILŠER,M6,M,9,1
Václav ZEMEK,M6,M,9,1
Josef CHYTIL,M3,M,9,3
Radek POKORNÝ,M5,M,9,2
Jana FILIPOVIČOVÁ,M6,F,8,1
Vít HAVELKA,M3,M,8,1
Andrea ČANDOVÁ,M1,F,8,3
Vítězslav HRUŠKA,M5,M,8,1
Zdeněk VENERA,M5,M,8,2
Zuzana TEJNICKÁ,M1,F,8,2
Claude JUNCKER,M6,M,8,6
Klára JEŠINOVÁ,M1,F,8,3
Tereza KRUMPHOLZOVÁ,M1,F,8,7
Tomáš INDREI,M1,M,8,1
Charles MICHEL,M6,M,8,8
Kristalina GEORGIEVOVÁ,M6,F,8,1
Ondřej HOUSKA,M1,M,8,1
Jaroslav RYGL,M5,M,8,1
Oldřich HAIČMAN,M5,M,8,1
Romana LEHMANNOVÁ,M1,F,8,2
Sebastian KURZ,M6,M,8,8
Jozef PECHO,M3,M,8,3
Františka ČÍŽKOVÁ,M1,F,8,1
Dominika VŘEŠŤÁLOVÁ,M1,F,8,2
Jeremy CLARKSON,M1,M,8,1
Jeroným TEJC,M6,M,8,2
Petr DOUBRAVSKÝ,M5,M,8,5
Johana ŠULCOVÁ,M1,F,8,2
Bronislav BECHNÍK,M1,M,8,1
Bronislav KVASNIČKA,M5,M,8,2
Jaroslav HANÁK,M6,M,8,2
Ivan HLADÍK,M2,M,8,1
Martin PIVOKONSKÝ,M5,M,8,1
Martin MAŘÍK,M1,M,8,1
Hynek KMONÍČEK,M6,M,8,2
Hoesung LEE,M6,M,8,8
Jiří CRHA,M6,M,8,1
Petr DOLÍNEK,M5,M,8,1
Barbora MĚKOTOVÁ,M1,F,8,2
Jan BANOUT,M5,M,8,1
Veronika KYNČLOVÁ,M1,F,8,1
Bjorn LOMBORG,M3,M,8,1
Kateřina FERENČÍKOVÁ,M5,F,8,1
Nemeškalová ROSINOVÁ,M5,F,8,2
Heiko MAAS,M6,M,8,8
Petr HLADÍK,M6,M,8,2
Antonín OSIČKA,M6,M,8,5
Jan HERZMANN,M5,M,8,1
Armin LASCHET,M6,M,8,6
Vladimíra LESENKÁ,M6,F,8,1
Petr LEYER,M5,M,8,1
Jiří MACHÁČEK,M3,M,8,1
Karel KOVANDA,M6,M,8,1
Aneta SNOPOVÁ,M1,F,8,2
Jan LIPAVSKÝ,M3,M,8,1
Vojtěch JANSA,M5,M,8,1
Petr MÁRA,M2,M,8,1
Josef SOUKUP,M3,M,8,1
Miroslava NERADOVÁ,M5,F,8,1
Jan SECHTER,M5,M,8,1
Jan VALENTIN,M3,M,8,1
Marcela MACHOVÁ,M5,F,8,1
Alexis DUTERTRE,M6,M,7,1
Zdeněk KALVACH,M3,M,7,1
Al GORE,M6,M,7,5
Jana BARTŮŇKOVÁ,M1,F,7,2
Václav MAREK,M5,M,7,1
Anna BAHNEROVÁ,M1,F,7,1
Karel KLEM,M6,M,7,1
Joko WIDODO,M6,M,7,3
Jolana VOLDÁNOVÁ,M1,F,7,6
Markéta CHUMCHALOVÁ,M1,F,7,4
Jakub RÁLIŠ,M5,M,7,3
Petr HRADECKÝ,M3,M,7,1
Vědunka LUNARDI,M5,F,7,1
Jan NOVÁK,M1,M,7,1
Stanislav LHOTA,M3,M,7,1
David CAMERON,M6,M,7,6
Petr KOLÁŘ,M1,M,7,1
Jan SKALÍK,M5,M,7,1
Jan VEVERA,M6,M,7,1
Jan STEJSKAL,M3,M,7,1
Lukáš POP,M3,M,7,1
Lukáš VRÁBLÍK,M3,M,7,1
Jan RŮŽIČKA,M5,M,7,1
David HLISNIKOVSKÝ,M3,M,7,1
Petr PAVEL,M6,M,7,2
Petr TŘEŠŇÁK,M6,M,7,2
Marcela DURASOVÁ,M1,F,7,1
Magdaléna TROJANOVÁ,M1,F,7,1
Jan TRNKA,M3,M,7,1
Yngvar BRENNA,M5,M,7,1
Lukáš KAUCKÝ,M6,M,7,1
Magda VÁŠÁRYOVÁ,M6,F,7,1
Miroslava NĚMCOVÁ,M6,F,7,3
Michal PAVLÁSEK,M2,M,7,1
Karel ROŽÁNEK,M1,M,7,3
Karel KLEM,M5,M,7,3
Sean SPICER,M1,M,7,7
David ČERNÝ,M3,M,7,1
Jevhenija VACHNIČENKO,M1,F,7,2
Jiří BENÁČEK,M6,M,7,1
Kamil KUPEC,M5,M,7,2
Kamila JUŠKOVÁ,M1,F,7,2
Petr JANYŠKA,M1,M,7,1
Osamu OKAMURA,M5,M,7,4
Vladislav SMRŽ,M5,M,7,2
Barbora LUKŠOVÁ,M1,F,7,2
Radim ŠRÁM,M6,M,7,1
Daniela TUNKLOVÁ,M1,F,7,2
Daniel NÝVLT,M3,M,7,2
Hillary CLINTONOVÁ,M6,F,7,6
Martin RULÍK,M6,M,7,1
Jan CZUDEK,M5,M,7,4
Jan BEZDĚK,M1,M,7,1
Jiří ŠEBESTIAN,M3,M,7,2
Jaroslav LOBKOWICZ,M6,M,7,1
Martin SALAJKA,M1,M,7,1
Kateřina OSIČKOVÁ,M2,F,7,1
Katrín JAKOBSDÓTTIROVÁ,M6,F,7,5
Drahomíra RAČÁKOVÁ,M1,F,7,6
Apolena RYCHLÍKOVÁ,M1,F,7,1
Michael BLOOMBERG,M6,M,7,3
Michael CRAMER,M6,M,7,1
Kovy KOVÁŘ,M2,M,7,1
Josef HÁJEK,M3,M,7,1
Josef KOUKAL,M1,M,7,1
Miroslav MAREŠ,M5,M,7,1
Miroslav FLORIÁN,M5,M,7,1
Jan KLÁN,M6,M,7,2
Vojtěch BÍLÝ,M1,M,7,6
Roman PRYMULA,M5,M,7,1
Sandip VERMA,M5,M,7,1
Daniel HEJL,M5,M,7,1
Karolína FARSKÁ,M5,F,7,1
Vladimír BEJČEK,M5,M,7,1
Martina BACÍKOVÁ,M5,F,7,1
Joan CLOS,M6,M,7,1
Jan MACHÁČ,M3,M,7,1
Jan KOZINA,M6,M,7,1
Jiří SLOVÁČEK,M5,M,7,1
Jiří PLEŠEK,M6,M,7,1
Justus PAULSEN,M6,M,7,2
Frans TIMMERMANS,M6,M,7,7
Petr SOKOL,M3,M,7,1
Petr ŠTENGL,M2,M,7,1
Radek KUBALA,M5,M,7,1
Fatih BIROL,M5,M,7,2
Miloš ČERMÁK,M5,M,7,1
Milan ŠTECH,M3,M,7,1
Andreas PAPADOPULOUS,M1,M,7,2
Josef ŘIHÁK,M6,M,7,1
Brna ODS,?,F,7,1
Jana HORKÁ,M1,F,7,1
Bohumil DOBOŠ,M3,M,7,1
Zuzana LUŇÁKOVÁ,M1,F,6,1
Jana FRIČOVÁ,M2,F,6,2
Václav SVOBODA,M1,M,6,5
Věra PALKOVSKÁ,M6,F,6,1
Eliška KOLOMAZNÍKOVÁ,M1,F,6,1
Milan VYSKOČIL,M6,M,6,1
Milan ŠAFÁŘ,M3,M,6,1
Tomáš ŘÍHA,M1,M,6,4
Ondřej KAVAN,M1,M,6,2
Jiří VÍŠEK,M6,M,6,1
Antonín STEINBAUER,M5,M,6,1
Jan JANDOUREK,M1,M,6,1
Pavel KINDLMANN,M3,M,6,1
Jan KAVALÍREK,M6,M,6,1
Jan RUTSCH,M5,M,6,1
Martina DLABAJOVÁ,M6,F,6,4
Tana WOODOVÁ,M3,F,6,2
Miroslav KARAS,M3,M,6,1
Petteri TAALAS,M6,M,6,6
Filip CHVÁTAL,M6,M,6,1
Ladislav MIKO,M6,M,6,1
Dmitrij PESKOV,M1,M,6,5
Vanda KOFROŇOVÁ,M1,F,6,1
Filip REMUNDA,M5,M,6,1
Josef ELSTER,M3,M,6,1
Charlie VERON,M3,M,6,1
Tim JARVIS,M3,M,6,3
Conie HADEGAARDOVÁ,M6,F,6,1
Irena KRCHÁKOVÁ,M1,F,6,2
Ondřej CÍSAŘ,M3,M,6,1
Kateřina JELÍNKOVÁ,M1,F,6,1
Dana SCHMIDT,M1,F,6,1
Daniel KURKA,M5,M,6,2
Stuart DAVIES,M3,M,6,1
Dušan MAJER,M5,M,6,1
Nora FRIDRICHOVÁ,M1,F,6,6
Tomáš HALÍK,M3,M,6,1
Chris TURBEY,M3,M,6,3
Veronika SKŘIVANOVÁ,M1,F,6,2
Veronika VÁCHOVÁ,M1,F,6,1
Martin HÁLA,M5,M,6,1
Petr KOLÁŘ,M5,M,6,1
Petr KOPECKÝ,M3,M,6,1
Petr KOŘÍNEK,M1,M,6,1
Petr KNAP,M3,M,6,2
David SVOBODA,M3,M,6,1
Michal MACENAUER,M5,M,6,1
Jiří ŠEBESTIÁN,M3,M,6,1
Jan CHVOJKA,M6,M,6,1
Carl SAFINA,M3,M,6,2
Jan DUSÍK,M5,M,6,1
Jana MALÁČOVÁ,M6,F,6,3
Jana MORAVCOVÁ,M5,F,6,1
Jitka SEITLOVÁ,M6,F,6,2
Michal FLEISCHMANN,M6,M,6,1
Jiří MÁNEK,M6,M,6,1
Jiří KOŽELOUCH,M5,M,6,1
Daniel URBAN,M6,M,6,1
Arif TURHAN,M2,M,6,3
Barbora BERECOVÁ,M5,F,6,1
Martin DORAZÍN,M1,M,6,1
Barbora LOUDOVÁ,M1,F,6,1
Petr MIŇOVSKÝ,M1,M,6,1
Karel KABELE,M5,M,6,1
Hynek KMONÍČEK,M5,M,6,1
Kamila MEDOVÁ,M1,F,6,1
Šárka CIMALOVÁ,M3,F,6,2
Aleš GERLOCH,M5,M,6,1
Aleš HAZUKA,M1,M,6,1
David HOLLAND,M3,M,6,2
Stanislav KOMÁREK,M3,M,6,1
Mitt ROMNEY,M6,M,6,4
Adam VIZINA,M3,M,6,1
Marek KOŠUT,M6,M,6,1
Radim POLČÁK,M6,M,6,1
Rex TILLERSON,M6,M,6,6
Lukáš KREJČÍ,M2,M,6,1
Lukáš VONDROVIC,M5,M,6,3
Jana DRÁPELOVÁ,M1,F,6,1
Stanislav TUMIS,M3,M,6,1
Gladys BEREJIKLIANOVÁ,M6,F,6,5
Ivo ŠLOSARČÍK,M3,M,6,2
Bill GATES,M5,M,6,6
Bohumil KARTOUS,M3,M,6,1
Stanislav BALÍK,M3,M,6,1
Přemysl ŠRÁMEK,M1,M,6,2
Mark ZUCKERBERG,M5,M,6,2
Zdeněk SLOBODA,M3,M,6,1
Leonardo DICAPRIO,M2,M,6,6
Josef ŠTULC,M5,M,6,1
Jair BOLSONARO,M6,M,6,6
Radko KUBIČKO,M1,M,6,1
Mirka VILDOVÁ,M1,F,6,1
Adam PETRUSEK,M5,M,6,1
Wolfgang ISCHINGER,M5,M,6,3
Luboš MOTL,M3,M,6,1
Jarmila RÁŽOVÁ,M6,F,6,1
Radim MATULA,M3,M,5,2
Zdeněk KUKAL,M3,M,5,1
Šinzó ABE,M6,M,5,5
Evo MORALES,M6,M,5,5
Evžen TOŠENOVSKÝ,M6,M,5,1
Elizabeth WARRENOVÁ,M6,F,5,5
Bertrand PICCARD,M2,M,5,5
Blanka KOVANDOVÁ,M1,F,5,1
Bohuslav NĚMEČEK,M6,M,5,1
Lenka SOLANSKÁ,M1,F,5,2
Martin NOVÁK,M1,M,5,1
Martin PELEŠKA,M5,M,5,3
Milada MEGRÁTOVÁ,M1,F,5,1
Milan BRUNCVÍK,M1,M,5,1
Jan THOMPSONOVÁ,M6,F,5,1
Alžběta HAVLOVÁ,M1,F,5,1
Alois MÍKA,M5,M,5,1
Radim VÍTEK,M5,M,5,1
Emrah ARIEL,M2,M,5,3
Radovan STOKLASA,M1,M,5,1
William SWEET,M3,M,5,2
Martin ANDER,M5,M,5,2
Barbora KLADIVOVÁ,M1,F,5,2
Barbora ČERNÁ DVOŘÁKOVÁ,M1,F,5,3
Jan BOŽENSKÝ,M3,M,5,2
Jan BUREŠ,M5,M,5,2
Tomáš PFEILER,M5,M,5,1
Tomáš LETOCHA,M2,M,5,3
Charty OSN,?,M,5,1
Martin SETVÁK,M3,M,5,1
Martin SVATOŇ,M1,M,5,1
Daniel KOLSKÝ,M2,M,5,1
Elena KOHÚTIKOVÁ,M6,F,5,1
Jens STOLTENBERG,M6,M,5,5
Stephen HAWKING,M3,M,5,1
Thomas KULIDAKIS,M5,M,5,2
Matyáš CHOCHOLA,M2,M,5,2
Petr ALBRECHT,M1,M,5,1
Petr BIRKLEN,M5,M,5,3
Michaela VAŠINOVÁ,M1,F,5,1
George KELL,M5,M,5,1
Volodymyr ZELENSKYJ,M6,M,5,4
Anton ŠECHOVCOV,M3,M,5,1
Antonín BRUŠTÍK,M1,M,5,1
Václav HAVEL,M6,M,5,4
Jan JŮN,M1,M,5,1
Pavel KAVINA,M5,M,5,1
Luboš ROSÍ,M1,M,5,3
Lukáš FRIEDL,M3,M,5,1
Lucie CHYTILOVÁ,M1,F,5,1
Jaromír BLÁHA,M5,M,5,1
Jan KLIMEŠ,M3,M,5,1
Judita PETRŽELKOVÁ,M3,F,5,1
Justin TRUDEAU,M6,M,5,5
Lenka DRMOTOVÁ,M1,F,5,1
Ivo BRÁNIŠ,M1,M,5,2
Ivan ŠTAMPACH,M3,M,5,1
Pavlína FABIÁNOVÁ,M1,F,5,1
Pavel ŠVEC,M1,M,5,1
Jaroslav DOLEŽAL,M3,M,5,2
Tomáš CZERNIN,M6,M,5,2
Filip DVOŘÁK,M6,M,5,1
Filip KOUBEK,M1,M,5,1
Josef KOLÁČEK,M5,M,5,1
Valérie MASSON DELMOTTEOVÁ,M5,F,5,3
Tomáš POSPÍŠIL,M6,M,5,1
Tomáš VRŠKA,M3,M,5,1
Bruce HONEYMAN,M5,M,5,3
Petr LUTONSKÝ,M1,M,5,1
Petr MACH,M6,M,5,1
Greta THURNBERGOVÁ,M5,F,5,3
Danuše VYMĚTALOVÁ,M2,F,5,1
Helena HORSKÁ,M5,F,5,2
Nich ARCHER,M6,M,5,1
Natálie FLAJŽÍKOVÁ,M1,F,5,2
Karla MAŘÍKOVÁ,M6,F,5,1
Michal HORSÁK,M3,M,5,1
Jiřina HAVLASOVÁ,M2,F,5,2
Michal JEMELKA,M1,M,5,2
